fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9931710449658386,0.9975520595969054,0.4871069631982089,,8.8526611328125
1,12,3814,0.9831799310611221,0.997191294683794,0.5028048252805299,,7.025223970413208
2,12,3816,0.9952833242118768,0.9971672443202141,0.41356739178960195,,7.463443994522095
3,12,3812,0.960539884878141,0.9975825891698353,0.37573866812967927,,7.693000316619873
4,12,3816,0.996597843805354,0.9977106963941258,0.3015816686075981,,15.397661924362183
5,12,3814,0.9838603130342413,0.9976829831527283,0.4153947971908727,,15.781355619430542
6,12,3814,0.9874977853894762,0.9975423443801247,0.3329402269575073,,16.487361907958984
7,11,3496,0.9884507308370848,0.9974190493942985,0.5157929617328566,,16.745226860046387
8,11,3496,0.9933204436541583,0.997465870150359,0.25477673954752195,,16.762856483459473
9,11,3494,0.9909128286761488,0.9974951627021119,0.6251854591102657,,16.5125412940979
